# ProtRank analysis results of a dataset with 6862 rows and 2 comparisons
# comparisons in group 1: H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_1.raw vs. H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_2.raw & H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzaC_4.raw vs. H:\Proteomics_Traube\mESC_AzaProject\DIA\DIA_chromatin\20230113_mESC_DNMT-TKO_Lif_200nM-AzadC_1.raw
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	LFC	rank score	FDR	signs in groups
1	Q9DC51	-4.39	3.890891	1.00000	-
2	Q61827	3.08	3.877558	1.00000	+
3	Q9Z2D7	3.03	3.746078	1.00000	+
4	Q3UAW9	-4.05	3.650142	1.00000	-
5	P51174	-3.87	3.550969	1.00000	-
6	Q8R071	2.88	3.481545	1.00000	+
7	A0A1D5RLX6	2.82	3.433898	1.00000	+
8	Q06507	2.80	3.419287	1.00000	+
9	Q8R5C8	2.76	3.365946	1.00000	+
10	Q499E6	2.75	3.319171	1.00000	+
11	D3YTR4	2.71	3.277443	1.00000	+
12	Q91X52	2.71	3.267670	1.00000	+
13	Q9D516	2.62	3.084494	1.00000	+
14	Q9D4G2	-3.21	3.015876	1.00000	-
15	Q8C0D9	2.58	3.005795	1.00000	+
16	P51943	-3.20	3.004948	1.00000	-
17	Q9CQA0	2.58	3.000684	1.00000	+
18	Q61166	-3.17	2.994286	1.00000	-
19	Q8K0V4	-3.13	2.973704	1.00000	-
20	Q9QZK2	2.52	2.900911	1.00000	+
21	Q9DCH2	2.52	2.896859	1.00000	+
22	E9Q5Z5	2.48	2.839966	1.00000	+
23	Q9D5R3	2.46	2.802216	1.00000	+
24	P58043	-2.91	2.800100	1.00000	-
25	Q8CII8	2.45	2.795660	1.00000	+
26	Q80UJ7	-2.90	2.793238	1.00000	-
27	Q9DBA9	-2.86	2.773219	1.00000	-
28	E9Q0F0	2.42	2.752095	1.00000	+
29	B2RQY6	2.42	2.749126	1.00000	+
30	Q80U35	2.42	2.746175	1.00000	+
31	Q99P91	-2.81	2.741573	1.00000	-
32	O88445	2.41	2.725997	1.00000	+
33	O55102	-2.76	2.683740	1.00000	-
34	Q0VEE6	2.37	2.677552	1.00000	+
35	Q8K157	-2.74	2.662334	1.00000	-
36	Q80ZM7	2.35	2.645217	1.00000	+
37	Q7SIG6	2.35	2.642812	1.00000	+
38	Q9QY76	2.34	2.633298	1.00000	+
39	A0A1B0GRI2	2.34	2.626274	1.00000	+
40	Q6AW69	2.32	2.605748	1.00000	+
41	Q8CFK2	2.32	2.601293	1.00000	+
42	Q9D279	2.31	2.592492	1.00000	+
43	H3BKD0	-2.72	2.589086	1.00000	-
44	Q68FE8	2.30	2.581690	1.00000	+
45	P70202	2.30	2.579555	1.00000	+
46	Q9D067	2.29	2.573202	1.00000	+
47	Q9D0M5	2.86	2.571726	1.00000	+
48	Q91WM0	2.29	2.569007	1.00000	+
49	Q8R550	2.28	2.558660	1.00000	+
50	Q9D5D8	2.28	2.554575	1.00000	+
51	A2AUM9	2.27	2.552544	1.00000	+
52	Q9DAB5	2.26	2.550521	1.00000	+
53	Q99J19	-2.67	2.549523	1.00000	-
54	S4R299	2.25	2.540514	1.00000	+
55	Q61624	2.24	2.534596	1.00000	+
56	Q9D4I2	2.22	2.528741	1.00000	+
57	E9QK83	2.21	2.517212	1.00000	+
58	Q4FZC9	2.20	2.509656	1.00000	+
59	E9QA22	2.17	2.489387	1.00000	+
60	Q9QYH6	2.17	2.487579	1.00000	+
61	Q8CI61	2.16	2.485778	1.00000	+
62	Q61858	2.16	2.482192	1.00000	+
63	Q6ZPG2	2.14	2.464592	1.00000	+
64	Q924W7	2.13	2.461135	1.00000	+
65	Q9CQH8	2.13	2.459415	1.00000	+
66	Q80YE7	2.12	2.457700	1.00000	+
67	Q6URW6	-2.57	2.448897	1.00000	-
68	Q6T340	2.11	2.447513	1.00000	+
69	Q80ZW0	2.10	2.442486	1.00000	+
70	A2A799	2.09	2.427658	1.00000	+
71	P08042	2.09	2.424413	1.00000	+
72	Q69ZF8	2.07	2.417977	1.00000	+
73	Q52KG4	2.07	2.414784	1.00000	+
74	Q9D1E8	2.06	2.411609	1.00000	+
75	Q3UHA3	2.06	2.408451	1.00000	+
76	Q5DU09	2.04	2.395981	1.00000	+
77	Q9D0M0	2.04	2.394441	1.00000	+
78	Q3UPP8	2.02	2.382256	1.00000	+
79	A2ACJ2	2.01	2.377749	1.00000	+
80	Q6A028	-3.31	2.373979	1.00000	-
81	Q8BM13	1.79	2.373157	1.00000	+
82	Q9CZY2	1.98	2.361503	1.00000	+
83	P80206	1.96	2.355700	1.00000	+
84	Q8BQ48	1.95	2.349952	1.00000	+
85	Q9Z206	1.94	2.347098	1.00000	+
86	Q9D8Y0	1.93	2.341428	1.00000	+
87	E9QA68	1.91	2.324723	1.00000	+
88	B1AVY7	1.88	2.313827	1.00000	+
89	P59281	1.87	2.307112	1.00000	+
90	A0A1Y7VNA8	-2.04	2.302585	1.00000	-
91	F6S2M6	-2.02	2.302585	1.00000	-
92	A2AAJ9	-2.01	2.302585	1.00000	-
93	P52912	-2.01	2.302585	1.00000	-
94	Q7TPC1	-2.00	2.302585	1.00000	-
95	E9QAA1	2.00	2.302585	1.00000	+
96	Q6DI92	1.99	2.302585	1.00000	+
97	Q6PIX5	1.97	2.302585	1.00000	+
98	Q9CQK1	1.96	2.302585	1.00000	+
99	Q5EE38	1.96	2.302585	1.00000	+
100	O55187	1.94	2.302585	1.00000	+
101	Q9Z0G7	1.93	2.302585	1.00000	+
102	Q9QXV1	1.92	2.302585	1.00000	+
103	Q8QZT2	1.92	2.302585	1.00000	+
104	Q9D4S6	1.92	2.302585	1.00000	+
105	Q9WTL8	1.90	2.302585	1.00000	+
106	Q9R244	1.89	2.302585	1.00000	+
107	O35885	1.87	2.302585	1.00000	+
108	Q9CWV6	1.85	2.302585	1.00000	+
109	Q8C4X1	1.83	2.302585	1.00000	+
110	Q9CXE2	1.80	2.302585	1.00000	+
111	Q3U133	1.79	2.302585	1.00000	+
112	A0A1L1SSL0	1.78	2.302585	1.00000	+
113	Q8BH07	1.77	2.302585	1.00000	+
114	Q00322	1.76	2.302585	1.00000	+
115	P70210	1.76	2.302585	1.00000	+
116	A2ARW1	1.74	2.302585	1.00000	+
117	Q9CZJ6	1.70	2.302585	1.00000	+
118	Q8VC65	1.68	2.302585	1.00000	+
119	C0HKE9	1.65	2.302585	1.00000	+
120	Q8CFC7	1.59	2.302585	1.00000	+
121	G3UY09	1.59	2.302585	1.00000	+
122	O70517	1.62	2.302585	1.00000	+
123	Q810Y8	1.59	2.302585	1.00000	+
124	Q6NXY1	1.59	2.302585	1.00000	+
125	Q80SX8	1.58	2.302585	1.00000	+
126	Q9Z1L3	1.57	2.302585	1.00000	+
127	Q8CFL8	1.56	2.302585	1.00000	+
128	Q8R089	1.55	2.302585	1.00000	+
129	Q6PFY9	1.55	2.302585	1.00000	+
130	A2A699	1.54	2.302585	1.00000	+
131	Q5QD04	1.54	2.302585	1.00000	+
132	A0A1W2P7J4	1.54	2.302585	1.00000	+
133	A2BDY0	1.54	2.302585	1.00000	+
134	Q6VY05	1.59	2.299145	1.00000	+
135	Q3UGR5	-2.07	2.290698	1.00000	-
136	Q05AH6	1.56	2.279651	1.00000	+
137	A0A494B9Q2	1.55	2.278372	1.00000	+
138	Q05186	1.54	2.277096	1.00000	+
139	F7DAL6	1.53	2.268231	1.00000	+
140	Q60952	1.52	2.257006	1.00000	+
141	Q91VL8	1.51	2.255770	1.00000	+
142	P58774	-2.01	2.250861	1.00000	-
143	P97872	1.50	2.247186	1.00000	+
144	Q9D7M8	1.50	2.245969	1.00000	+
145	Q66JY6	1.49	2.244754	1.00000	+
146	Q8CDD9	1.48	2.239916	1.00000	+
147	Q9CXE0	1.48	2.236310	1.00000	+
148	Q6ZWV7	-3.29	2.235711	1.00000	-
149	Q9DBS8	1.46	2.226789	1.00000	+
150	Q8CI03	1.45	2.225608	1.00000	+
151	O08917	1.45	2.223253	1.00000	+
152	P47199	-1.97	2.223103	1.00000	-
153	Q9D394	1.44	2.217401	1.00000	+
154	Q8BG80	1.43	2.210444	1.00000	+
155	Q5SV80	1.43	2.209291	1.00000	+
156	Q8C7U1	1.42	2.205845	1.00000	+
157	Q6IMF0	1.41	2.200140	1.00000	+
158	Q8K2R5	1.41	2.199004	1.00000	+
159	Q9Z0R0	1.40	2.193355	1.00000	+
160	O35099	1.39	2.189988	1.00000	+
161	Q1H9T6	1.39	2.188869	1.00000	+
162	Q9QXG2	1.38	2.185523	1.00000	+
163	Q9QYZ3	1.37	2.181088	1.00000	+
164	Q91WD5	-3.55	2.180158	1.00000	-
165	Q8CEE0	1.37	2.177779	1.00000	+
166	Q9Z2C8	1.36	2.174486	1.00000	+
167	Q7TPW1	1.35	2.171209	1.00000	+
168	Q80UP5	1.35	2.169032	1.00000	+
169	Q9Z1D8	1.33	2.157180	1.00000	+
170	Q6PIC6	-1.90	2.157160	1.00000	-
171	Q9WUA3	-3.00	2.155016	1.00000	-
172	Q1LZM6	1.32	2.149740	1.00000	+
173	Q922B9	1.32	2.148683	1.00000	+
174	Q8CHK4	1.32	2.147628	1.00000	+
175	P61211	1.30	2.141331	1.00000	+
176	Q9DAI4	1.30	2.140287	1.00000	+
177	P16331	1.30	2.137163	1.00000	+
178	Q8BKK5	1.53	2.129146	1.00000	+
179	E9Q981	1.28	2.125824	1.00000	+
180	P28659	-2.98	2.122755	1.00000	-
181	Q9DB34	-1.83	2.113568	1.00000	-
182	Q8BUQ3	1.53	2.112298	1.00000	+
183	Q9Z130	1.27	2.110641	1.00000	+
184	Q6DFU8	1.24	2.104654	1.00000	+
185	Q9Z1Y4	1.23	2.101679	1.00000	+
186	Q8BUL6	1.19	2.092825	1.00000	+
187	P48379	1.18	2.089897	1.00000	+
188	A2CG63	1.18	2.088923	1.00000	+
189	Q8BI22	1.16	2.074470	1.00000	+
190	Q8BIG4	1.15	2.072564	1.00000	+
191	A2AI08	1.15	2.071612	1.00000	+
192	Q99PN3	1.14	2.064985	1.00000	+
193	E9Q309	1.13	2.062163	1.00000	+
194	B9EJ57	1.12	2.061224	1.00000	+
195	A0A0G2JFF1	1.10	2.054687	1.00000	+
196	Q2KN98	1.09	2.053757	1.00000	+
197	Q8R2U4	1.06	2.048204	1.00000	+
198	Q3LR78	1.05	2.047282	1.00000	+
199	Q9WUJ8	1.03	2.046362	1.00000	+
200	P10925	-1.62	2.044897	1.00000	-
201	V9GX87	1.00	2.039036	1.00000	+
202	B1AZP2	1.00	2.037215	1.00000	+
203	Q9CR60	0.99	2.032682	1.00000	+
204	E9Q8T2	0.98	2.030876	1.00000	+
205	E9Q6S4	0.97	2.028175	1.00000	+
206	Q91YN5	-1.58	2.027705	1.00000	-
207	Q60664	0.96	2.027276	1.00000	+
208	Q8VDS4	0.95	2.025483	1.00000	+
209	P70323	0.95	2.024587	1.00000	+
210	Q7TSH4	0.95	2.023693	1.00000	+
211	Q69ZQ2	0.95	2.022800	1.00000	+
212	Q9D1I2	0.94	2.019236	1.00000	+
213	P62743	-2.78	2.018462	1.00000	-
214	A0A087WQ46	0.93	2.017461	1.00000	+
215	Q3U1T3	0.92	2.016575	1.00000	+
216	P09602	0.91	2.014805	1.00000	+
217	O54917	0.90	2.011277	1.00000	+
218	Q32P14	0.89	2.010398	1.00000	+
219	Q62010	0.89	2.008642	1.00000	+
220	A0A0G2JG70	0.89	2.006889	1.00000	+
221	Q9D1D4	-1.51	2.001683	1.00000	-
222	Q9ESS0	-1.51	1.998034	1.00000	-
223	Q7TQK4	0.88	1.996455	1.00000	+
224	Q64318	0.87	1.995592	1.00000	+
225	Q62158	0.87	1.990430	1.00000	+
226	Q8R4N0	-1.49	1.988982	1.00000	-
227	Q9D084	0.87	1.987007	1.00000	+
228	E9Q4Y4	0.86	1.984449	1.00000	+
229	Q8K4Q6	0.85	1.983599	1.00000	+
230	Q5SPL2	0.85	1.982749	1.00000	+
231	Q8R1J9	0.84	1.979357	1.00000	+
232	Q8BVI4	-2.73	1.975772	1.00000	-
233	Q99104	0.83	1.972617	1.00000	+
234	O70251	-1.45	1.971172	1.00000	-
235	Q6P2L6	0.82	1.970940	1.00000	+
236	Q61474	0.80	1.957647	1.00000	+
237	D3YYU8	0.79	1.956823	1.00000	+
238	H3BLC5	0.78	1.954357	1.00000	+
239	P61028	0.78	1.952716	1.00000	+
240	Q9CZ70	1.59	1.950293	1.00000	+
241	Q9D4V4	0.77	1.948629	1.00000	+
242	Q6ZQK0	0.77	1.946999	1.00000	+
243	Q9JKN6	0.76	1.943750	1.00000	+
244	Q6IRU7	0.76	1.942130	1.00000	+
245	Q9JJZ6	0.75	1.938899	1.00000	+
246	Q8CBY3	0.75	1.938093	1.00000	+
247	A0A087WQ89	0.74	1.935680	1.00000	+
248	P48031	0.74	1.934075	1.00000	+
249	Q9JLV2	0.72	1.930874	1.00000	+
250	Q99MU3	0.70	1.930076	1.00000	+
251	Q00417	0.70	1.929278	1.00000	+
252	Q920Q6	0.70	1.928481	1.00000	+
253	G3X8Q1	0.69	1.924508	1.00000	+
254	Q9R0B7	0.69	1.923715	1.00000	+
255	E9Q7F2	0.68	1.921342	1.00000	+
256	Q9WTX2	0.68	1.918975	1.00000	+
257	Q9DBB1	-1.32	1.918248	1.00000	-
258	Q9DBY5	0.67	1.917401	1.00000	+
259	Q62193	-3.04	1.916811	1.00000	-
260	E9PZP6	0.67	1.916615	1.00000	+
261	D3YUP5	0.66	1.913478	1.00000	+
262	Q8CI75	0.66	1.911913	1.00000	+
263	Q8K203	0.65	1.911132	1.00000	+
264	Q8BQ30	0.65	1.910352	1.00000	+
265	Q8VIJ8	0.65	1.909572	1.00000	+
266	Q8CB62	0.64	1.908793	1.00000	+
267	Q60634	0.64	1.907236	1.00000	+
268	Q8VDY9	-1.28	1.905102	1.00000	-
269	Q5XJV7	0.63	1.904132	1.00000	+
270	P48036	-1.27	1.903472	1.00000	-
271	Q9CZH8	0.62	1.901811	1.00000	+
272	P61963	0.61	1.899497	1.00000	+
273	Q3TCH7	0.61	1.897957	1.00000	+
274	A0A2I3BPT2	-1.25	1.895369	1.00000	-
275	Q61069	0.60	1.892588	1.00000	+
276	P10853	1.73	1.891134	1.00000	+
277	P97357	0.59	1.891060	1.00000	+
278	Q8C0T5	0.59	1.889534	1.00000	+
279	Q3TDV8	0.58	1.887251	1.00000	+
280	A0A1L1SRP4	0.58	1.886491	1.00000	+
281	Q9CQM9	-2.60	1.886042	1.00000	-
282	Q9CWE0	0.58	1.884973	1.00000	+
283	E9Q0A3	0.57	1.884215	1.00000	+
284	Q80UU2	0.56	1.881945	1.00000	+
285	Q9CQW1	-1.20	1.880965	1.00000	-
286	Q924H7	0.54	1.878174	1.00000	+
287	Q8VE18	0.53	1.875169	1.00000	+
288	P86174	0.53	1.874419	1.00000	+
289	P55012	0.53	1.873670	1.00000	+
290	Q62394	0.52	1.871426	1.00000	+
291	Q9CWJ9	-2.58	1.870754	1.00000	-
292	Q5ND52	0.51	1.869933	1.00000	+
293	A0A1B0GR85	0.51	1.868443	1.00000	+
294	Q91ZX6	0.51	1.867698	1.00000	+
295	Q9JL70	0.51	1.866955	1.00000	+
296	Q8K305	0.51	1.865469	1.00000	+
297	Q3UA16	0.50	1.860288	1.00000	+
298	Q9D820	0.49	1.858813	1.00000	+
299	Q8C804	0.48	1.855870	1.00000	+
300	Q920S3	0.47	1.855136	1.00000	+
301	E9Q2C0	-2.63	1.854992	1.00000	-
302	Q91WA4	0.46	1.854402	1.00000	+
303	Q921Y2	1.65	1.852928	1.00000	+
304	Q5NBY9	0.45	1.852204	1.00000	+
305	P12367	0.45	1.850742	1.00000	+
306	E9Q9Y4	0.45	1.846369	1.00000	+
307	P97499	0.44	1.844916	1.00000	+
308	Q8BHS3	0.44	1.843465	1.00000	+
309	Q9EQR6	0.44	1.842740	1.00000	+
310	P15508	0.43	1.840569	1.00000	+
311	O55111	0.42	1.839847	1.00000	+
312	Q91WT8	0.42	1.839125	1.00000	+
313	Q9D6N5	1.82	1.837711	1.00000	+
314	A0A0U1RP81	0.42	1.837683	1.00000	+
315	Q9R1K9	0.41	1.836963	1.00000	+
316	P98203	0.41	1.836243	1.00000	+
317	P70195	-1.07	1.836033	1.00000	-
318	A6H5Y3	0.41	1.834805	1.00000	+
319	Q8BKF1	0.40	1.833370	1.00000	+
320	Q8K3J5	0.40	1.832653	1.00000	+
321	E9Q9F0	0.39	1.824801	1.00000	+
322	Q3UJD6	0.39	1.822671	1.00000	+
323	Q3UZ18	0.38	1.821962	1.00000	+
324	P11403	0.38	1.821253	1.00000	+
325	P49117	0.38	1.819130	1.00000	+
326	Q6P5D4	0.38	1.817013	1.00000	+
327	P70255	0.38	1.816308	1.00000	+
328	Q1EG27	0.37	1.813493	1.00000	+
329	Q61312	0.37	1.812791	1.00000	+
330	Q8BHZ4	0.37	1.812089	1.00000	+
331	Q920Q8	0.37	1.811387	1.00000	+
332	D3YZC8	0.35	1.810686	1.00000	+
333	P41778	0.35	1.809286	1.00000	+
334	Q9WU79	0.35	1.806491	1.00000	+
335	Q8K2J4	0.35	1.805794	1.00000	+
336	P70178	0.34	1.805097	1.00000	+
337	Q9R059	0.34	1.804401	1.00000	+
338	Q3UY26	1.24	1.802093	1.00000	+
339	Q9WVM1	1.83	1.801401	1.00000	+
340	Q7TQG1	0.33	1.800232	1.00000	+
341	Q8CIC2	0.33	1.798155	1.00000	+
342	P97358	0.33	1.796082	1.00000	+
343	Q8CAQ8	1.80	1.795296	1.00000	+
344	Q9Z1T6	0.32	1.794702	1.00000	+
345	P60898	1.23	1.794604	1.00000	+
346	O35492	0.32	1.794013	1.00000	+
347	Q5I1X5	0.32	1.793324	1.00000	+
348	P57722	0.32	1.791948	1.00000	+
349	P26043	0.31	1.791261	1.00000	+
350	Q8CIW5	0.31	1.789888	1.00000	+
351	Q8BR93	0.31	1.788516	1.00000	+
352	G3X9J0	0.31	1.786463	1.00000	+
353	Q99JP6	0.30	1.785779	1.00000	+
354	A6H5X4	0.30	1.785096	1.00000	+
355	P67984	-2.68	1.784579	1.00000	-
356	Q8JZM0	0.29	1.784414	1.00000	+
357	Q6PDZ2	0.29	1.783732	1.00000	+
358	Q921I6	0.29	1.783050	1.00000	+
359	Q921U8	0.27	1.776935	1.00000	+
360	Q8BFV2	0.27	1.776258	1.00000	+
361	Q8CGC4	0.27	1.774905	1.00000	+
362	O55128	-2.89	1.774814	1.00000	-
363	O88696	0.27	1.773554	1.00000	+
364	O35206	0.27	1.772879	1.00000	+
365	M0QWP1	0.26	1.772205	1.00000	+
366	Q91VT4	0.26	1.768839	1.00000	+
367	Q3TUL7	0.25	1.768167	1.00000	+
368	Q8K1M3	0.25	1.765484	1.00000	+
369	Q8C1S0	0.25	1.763476	1.00000	+
370	O88852	0.24	1.761473	1.00000	+
371	Q8BUE4	0.24	1.760806	1.00000	+
372	Q9Z329	0.24	1.758807	1.00000	+
373	Q62141	0.23	1.757477	1.00000	+
374	Q8VHJ5	0.22	1.756812	1.00000	+
375	D3YXK1	1.63	1.754878	1.00000	+
376	O70201	0.21	1.752172	1.00000	+
377	E9Q7C4	0.21	1.751511	1.00000	+
378	Q60739	0.21	1.750850	1.00000	+
379	Q8K4E0	0.21	1.750190	1.00000	+
380	Q8BH88	0.21	1.747553	1.00000	+
381	Q9JI44	0.20	1.745579	1.00000	+
382	Q9QZ41	0.20	1.744266	1.00000	+
383	Q66JX5	0.20	1.743609	1.00000	+
384	E9PV87	0.20	1.742954	1.00000	+
385	Q91WD7	0.19	1.742298	1.00000	+
386	D2EAC2	0.19	1.741643	1.00000	+
387	Q6NZL6	0.19	1.740989	1.00000	+
388	Q69ZH9	0.18	1.739681	1.00000	+
389	P51612	0.18	1.739027	1.00000	+
390	Q9D9K3	-0.83	1.738171	1.00000	-
391	P10761	0.17	1.737069	1.00000	+
392	Q9Z2K1	-0.83	1.736799	1.00000	-
393	Q8QZY3	0.17	1.736417	1.00000	+
394	E9PVS5	0.17	1.735115	1.00000	+
395	Q9D8C3	-2.51	1.734205	1.00000	-
396	Q05A36	0.16	1.733814	1.00000	+
397	Q9CRB9	0.16	1.732515	1.00000	+
398	Q9Z0G9	0.15	1.730569	1.00000	+
399	Q8BP78	0.15	1.729921	1.00000	+
400	Q9CWX4	0.15	1.729273	1.00000	+
401	Q62159	-2.44	1.728620	1.00000	-
402	Q80X73	0.14	1.726042	1.00000	+
403	Q9EQM6	0.14	1.724107	1.00000	+
404	Q80WC1	0.14	1.722819	1.00000	+
405	Q9CZT6	1.56	1.722131	1.00000	+
406	Q8BHA0	0.13	1.719607	1.00000	+
407	Q9D620	0.12	1.718324	1.00000	+
408	Q9CSP9	0.12	1.717684	1.00000	+
409	Q62130	0.12	1.717043	1.00000	+
410	Q8BMJ3	-2.51	1.715854	1.00000	-
411	Q14AI6	0.11	1.715125	1.00000	+
412	Q7TT79	0.11	1.713847	1.00000	+
413	Q99L85	-0.76	1.713739	1.00000	-
414	Q8BHE0	0.11	1.713209	1.00000	+
415	A0A3B2W7J0	0.11	1.712572	1.00000	+
416	Q61292	0.10	1.711297	1.00000	+
417	P42128	0.10	1.710661	1.00000	+
418	O09110	-2.39	1.710444	1.00000	-
419	Q5NC05	0.10	1.710025	1.00000	+
420	O88441	0.10	1.709389	1.00000	+
421	Q6ZPY5	0.10	1.708753	1.00000	+
422	Q9QX96	0.10	1.707483	1.00000	+
423	Q3U288	0.09	1.706849	1.00000	+
424	P63028	-0.75	1.705714	1.00000	-
425	O88792	0.09	1.704315	1.00000	+
426	P50171	0.09	1.703050	1.00000	+
427	Q9JK92	0.09	1.701786	1.00000	+
428	P08032	1.55	1.699386	1.00000	+
429	Q69ZN7	-0.75	1.697747	1.00000	-
430	Q8BX70	0.08	1.694235	1.00000	+
431	Q80Z25	0.08	1.693608	1.00000	+
432	Q6ZQE4	0.08	1.692982	1.00000	+
433	Q9D8M4	1.39	1.692333	1.00000	+
434	Q8R344	0.08	1.691729	1.00000	+
435	Q9CQK3	0.07	1.691104	1.00000	+
436	Q99MB2	0.07	1.688605	1.00000	+
437	P18911	0.06	1.687357	1.00000	+
438	Q8JZS6	0.06	1.683623	1.00000	+
439	Q8R4Z4	0.05	1.681760	1.00000	+
440	A2ASQ1	0.05	1.680520	1.00000	+
441	Q99JX4	-2.37	1.680176	1.00000	-
442	Q5DU05	0.05	1.679281	1.00000	+
443	O35493	0.04	1.678044	1.00000	+
444	Q8R2Y9	0.04	1.676808	1.00000	+
445	A2BI46	0.04	1.675573	1.00000	+
446	Q7TQC7	0.04	1.674956	1.00000	+
447	Q7TSG1	0.04	1.674340	1.00000	+
448	Q3UWW6	0.04	1.671877	1.00000	+
449	Q9WU84	0.04	1.669419	1.00000	+
450	A0A075B5P4	-1.50	1.669153	1.00000	-
451	P47753	0.04	1.667579	1.00000	+
452	Q7TT28	0.04	1.666966	1.00000	+
453	Q64092	0.04	1.665742	1.00000	+
454	Q9QUJ7	0.04	1.663296	1.00000	+
455	Q9DC33	0.04	1.662686	1.00000	+
456	A2A7I1	0.04	1.662076	1.00000	+
457	O88735	0.04	1.659638	1.00000	+
458	Q7TT50	0.03	1.659029	1.00000	+
459	Q91VY9	-2.33	1.656477	1.00000	-
460	Q9QUM9	-2.39	1.656289	1.00000	-
461	H9KV00	0.03	1.655384	1.00000	+
462	Q9DAJ4	0.03	1.654172	1.00000	+
463	A0A0A6YXR1	0.03	1.653566	1.00000	+
464	Q4JK59	-2.55	1.652530	1.00000	-
465	Q69ZB0	0.03	1.652355	1.00000	+
466	Q8BLB0	0.03	1.651750	1.00000	+
467	P35761	0.02	1.648730	1.00000	+
468	Q4U2R1	0.03	1.648127	1.00000	+
469	Q9QXN0	0.02	1.647524	1.00000	+
470	E9Q634	0.02	1.644514	1.00000	+
471	Q60715	0.02	1.643913	1.00000	+
472	Q7TMK6	0.02	1.643313	1.00000	+
473	Q80XI3	-2.43	1.643113	1.00000	-
474	Q62311	0.03	1.642712	1.00000	+
475	Q6PD29	0.03	1.641512	1.00000	+
476	Q9QYS9	1.82	1.640916	1.00000	+
477	Q8K2F8	0.03	1.638517	1.00000	+
478	O70152	0.03	1.637919	1.00000	+
479	Q5BN45	0.03	1.637321	1.00000	+
480	Q6DVA0	0.03	1.636724	1.00000	+
481	Q9DBC3	0.03	1.636127	1.00000	+
482	Q9JJ43	0.03	1.635530	1.00000	+
483	Q8C0K5	0.03	1.634933	1.00000	+
484	E9PX23	0.03	1.634337	1.00000	+
485	O88384	0.03	1.633145	1.00000	+
486	Q3TC33	0.03	1.631954	1.00000	+
487	Q9Z1G4	0.03	1.631359	1.00000	+
488	Q8BLG0	0.03	1.628389	1.00000	+
489	Q8VC52	1.43	1.625022	1.00000	+
490	B2RY04	0.03	1.624833	1.00000	+
491	Q8C0I4	0.02	1.623651	1.00000	+
492	Q91VX2	-2.34	1.623332	1.00000	-
493	P70377	0.02	1.621288	1.00000	+
494	O88848	0.03	1.620109	1.00000	+
495	Q8R3B7	1.62	1.619930	1.00000	+
496	Q8BX02	0.02	1.618341	1.00000	+
497	P97434	0.03	1.617753	1.00000	+
498	P51655	0.03	1.617165	1.00000	+
499	Q64512	0.03	1.616577	1.00000	+
500	P47713	-0.73	1.615980	1.00000	-
501	P62046	0.03	1.615401	1.00000	+
502	Q8C0P0	0.03	1.614227	1.00000	+
503	Q9DBV3	0.03	1.613641	1.00000	+
504	P20863	0.03	1.611882	1.00000	+
505	A2ASS6	-2.40	1.610822	1.00000	-
506	P83093	0.03	1.610127	1.00000	+
507	Q99J99	0.03	1.609542	1.00000	+
508	Q9CYD3	0.03	1.607789	1.00000	+
509	Q80X41	0.03	1.607205	1.00000	+
510	Q9CPY3	1.36	1.606717	1.00000	+
511	Q9CQC7	0.02	1.604873	1.00000	+
512	Q7TPH6	0.02	1.604291	1.00000	+
513	E9Q774	-2.39	1.603182	1.00000	-
514	Q9QZH3	0.02	1.603127	1.00000	+
515	P16254	0.02	1.602545	1.00000	+
516	Q8BFZ9	0.02	1.601383	1.00000	+
517	Q5SW75	0.03	1.600802	1.00000	+
518	Q8BU04	0.02	1.600221	1.00000	+
519	Q9CRB2	0.02	1.596743	1.00000	+
520	G3X9A3	0.03	1.596165	1.00000	+
521	P97393	0.03	1.595008	1.00000	+
522	B1AUR6	0.03	1.594430	1.00000	+
523	Q8K389	1.38	1.594038	1.00000	+
524	Q8R0K9	0.02	1.592697	1.00000	+
525	Q571K4	0.02	1.591544	1.00000	+
526	Q80X44	0.02	1.590967	1.00000	+
527	O08740	1.51	1.590742	1.00000	+
528	Q64331	0.02	1.589239	1.00000	+
529	A2AL36	0.02	1.588088	1.00000	+
530	Q8BQ33	0.02	1.586364	1.00000	+
531	Q9QXK3	-2.28	1.584611	1.00000	-
532	Q8BN21	0.02	1.583495	1.00000	+
533	Q64337	0.02	1.582349	1.00000	+
534	P57016	0.02	1.581777	1.00000	+
535	Q9D720	0.02	1.580632	1.00000	+
536	Q8C878	0.02	1.580060	1.00000	+
537	P62301	1.52	1.579642	1.00000	+
538	Q60899	1.35	1.578820	1.00000	+
539	O35841	-2.21	1.578588	1.00000	-
540	A3KGV1	0.02	1.578346	1.00000	+
541	Q64291	-0.73	1.578223	1.00000	-
542	Q80U56	0.02	1.577776	1.00000	+
543	Q99J25	0.02	1.576635	1.00000	+
544	Q9CR02	0.02	1.576064	1.00000	+
545	Q9CZ15	0.02	1.574925	1.00000	+
