"","protein","k"
"ERVK-9","ERVK-9",1
"MAD2L1BP","MAD2L1BP",1
"CD46.1","CD46.1",1
"CLK1","CLK1",1
"TMED3","TMED3",1
"CD46","CD46",1
"KIAA1191","KIAA1191",1
"ABCA2","ABCA2",1
"SLX4IP","SLX4IP",1
"MTMR12","MTMR12",1
"MRPS17","MRPS17",1
"SENP5","SENP5",1
"BBS7","BBS7",1
"AMMECR1L","AMMECR1L",1
"RGPD8","RGPD8",1
"ZC3H14","ZC3H14",1
"CNST","CNST",1
"SPAG7","SPAG7",1
"CCDC86","CCDC86",1
"ZNF460","ZNF460",1
"METTL8","METTL8",1
"MIS18A","MIS18A",1
"UQCC3","UQCC3",1
"PYROXD1","PYROXD1",1
"TMCO3","TMCO3",1
"KRT80","KRT80",1
"ZNF285","ZNF285",1
"ARID1B","ARID1B",1
"EIF5A2","EIF5A2",1
"CUEDC1","CUEDC1",1
"DGKI","DGKI",1
"TMEM65","TMEM65",1
"PHOX2A","PHOX2A",1
"RSRC1","RSRC1",1
"SEC11A","SEC11A",1
"PCDHB5","PCDHB5",1
"ST8SIA3","ST8SIA3",1
"TMEM184C","TMEM184C",1
"KIAA1958","KIAA1958",1
"SELENOT","SELENOT",1
"CDK5","CDK5",1
"RC3H2","RC3H2",1
"KXD1","KXD1",1
"SCRT1","SCRT1",1
"BNIP3","BNIP3",1
"FKBP7","FKBP7",1
"TMEM181","TMEM181",1
"C1orf50","C1orf50",1
"IQSEC3","IQSEC3",1
"CUL9","CUL9",1
"TNFRSF19","TNFRSF19",1
"SLC7A14","SLC7A14",1
"CASKIN1","CASKIN1",1
"RBL2","RBL2",1
"NEDD4L","NEDD4L",1
"ARHGEF6","ARHGEF6",1
"SETD7","SETD7",1
"SH2D3C","SH2D3C",1
"SHF","SHF",1
"MAP1LC3B","MAP1LC3B",1
"RASSF2","RASSF2",1
"ZNF385D","ZNF385D",1
"CSMD1","CSMD1",1
"MED28","MED28",1
"PDE6D","PDE6D",1
"NEUROD4","NEUROD4",1
"ANK2","ANK2",1
"SYN3","SYN3",1
"BAIAP2","BAIAP2",1
"PPP1R14A","PPP1R14A",1
"CLDND1","CLDND1",1
"CDKN1B","CDKN1B",1
"SSTR2","SSTR2",1
"ELFN1","ELFN1",1
"IAH1","IAH1",1
"SRRM3","SRRM3",1
"AP4E1","AP4E1",1
"FDX2","FDX2",1
"LILRA6","LILRA6",1
"TBC1D22A","TBC1D22A",1
"SORBS1","SORBS1",1
"TET3","TET3",1
"LPIN1","LPIN1",1
"CRBN","CRBN",1
"SLC25A6","SLC25A6",1
"TANK","TANK",1
"ADAM19","ADAM19",1
"R3HDM1","R3HDM1",1
"NUP42","NUP42",1
"PRKAG2","PRKAG2",1
"MBTPS2","MBTPS2",1
"RUNX1T1","RUNX1T1",1
"CAMK4","CAMK4",1
"STARD5","STARD5",1
"INPP1","INPP1",1
"MTSS2","MTSS2",1
"HABP4","HABP4",1
"NCOA7","NCOA7",1
"DBNL","DBNL",1
"H1-0","H1-0",1
"KPTN","KPTN",1
"ERGIC3","ERGIC3",1
"PPHLN1","PPHLN1",1
"SLC39A7","SLC39A7",1
"TSPAN31","TSPAN31",1
"ITGB7","ITGB7",1
"CD9","CD9",1
"OTULINL","OTULINL",7
"MRPS36","MRPS36",7
"COMMD8","COMMD8",7
"MT-ND1","MT-ND1",7
"FKBP14","FKBP14",7
"TRAM1","TRAM1",7
"NABP2","NABP2",7
"KAT5","KAT5",7
"SREBF2","SREBF2",7
"CRELD2","CRELD2",7
"SUCO","SUCO",7
"PYGO2","PYGO2",7
"ARPP19","ARPP19",7
"JRK","JRK",7
"EIF4E","EIF4E",7
"MED21","MED21",7
"BCORL1","BCORL1",7
"PURA","PURA",7
"UPF3A","UPF3A",7
"ZNF184","ZNF184",7
"GLS","GLS",7
"SPEG","SPEG",7
"DNAJC18","DNAJC18",7
"SMARCA4","SMARCA4",7
"TNRC6C","TNRC6C",7
"TTPAL","TTPAL",7
"VPS9D1","VPS9D1",7
"ZNF655","ZNF655",7
"ZFPL1","ZFPL1",7
"LOXL2","LOXL2",7
"TRIM35","TRIM35",7
"BDP1","BDP1",7
"DNM3","DNM3",7
"ZNF197","ZNF197",7
"GRIP1","GRIP1",7
"YOD1","YOD1",7
"RPS6KL1","RPS6KL1",7
"SEPSECS","SEPSECS",7
"VDAC2.1","VDAC2.1",7
"BTBD17","BTBD17",7
"TANC2","TANC2",7
"CPEB4","CPEB4",7
"NDRG2","NDRG2",7
"CAMKK1","CAMKK1",7
"IFFO2","IFFO2",7
"CBFA2T2","CBFA2T2",7
"AUTS2","AUTS2",7
"RSPRY1","RSPRY1",7
"NR2E3","NR2E3",7
"APPL2","APPL2",7
"DPP8","DPP8",7
"TSTD2","TSTD2",7
"DNM2","DNM2",7
"CNTROB","CNTROB",7
"DGCR6","DGCR6",7
"ZNF592","ZNF592",7
"APC2","APC2",7
"STX2","STX2",7
"SRSF12","SRSF12",7
"TSPYL4","TSPYL4",7
"LAMA4","LAMA4",7
"PFDN5","PFDN5",7
"ATOX1","ATOX1",7
"MRPL46","MRPL46",7
"SH2D4B","SH2D4B",7
"MINDY3","MINDY3",7
"SENP1","SENP1",7
"CYLD","CYLD",7
"DYNC1I2","DYNC1I2",7
"AFF4","AFF4",7
"SSH2","SSH2",7
"RAD54L2","RAD54L2",7
"HDHD2","HDHD2",7
"TBCEL","TBCEL",7
"KIF13B","KIF13B",7
"LYRM7","LYRM7",7
"TACO1","TACO1",7
"CLP1","CLP1",7
"VGF","VGF",7
"AMOT","AMOT",7
"MSANTD4","MSANTD4",7
"EDEM3","EDEM3",7
"RAB3D","RAB3D",7
"HTRA2","HTRA2",7
"KIF5A","KIF5A",7
"CRELD1","CRELD1",7
"ACTB","ACTB",7
"IGHMBP2","IGHMBP2",7
"MARK3","MARK3",7
"CMTM6","CMTM6",7
"DIPK1B","DIPK1B",7
"ARHGAP28","ARHGAP28",7
"TOMM22","TOMM22",7
"DNAJB2","DNAJB2",7
"USF1","USF1",7
"STK10","STK10",7
"NDUFB5","NDUFB5",7
"ACVR2B","ACVR2B",7
"PSMD4","PSMD4",7
"TXNDC9","TXNDC9",7
"ELMO1","ELMO1",7
"WDR45","WDR45",7
"FUT4","FUT4",7
"PRRG3","PRRG3",7
"IFIT5","IFIT5",7
"JMY","JMY",7
"LIN37","LIN37",7
"RMC1","RMC1",7
"KIAA1671","KIAA1671",7
"TFDP2","TFDP2",7
"PEG3","PEG3",7
"GNG2","GNG2",7
"PCBD2","PCBD2",7
"KRT17","KRT17",7
"CRIPT","CRIPT",7
"EIF1B","EIF1B",7
"ABLIM1","ABLIM1",7
"GZF1","GZF1",7
"SOWAHC","SOWAHC",7
"RAB30","RAB30",7
"CALCOCO1","CALCOCO1",7
"NKIRAS2","NKIRAS2",7
"TMEM200A","TMEM200A",7
"DENND5B","DENND5B",7
"SDHD","SDHD",7
"LETMD1","LETMD1",7
"UNK","UNK",7
"CCDC127","CCDC127",7
"ATP5MPL","ATP5MPL",7
"JTB","JTB",7
"SLC35F6","SLC35F6",7
"SLC20A2","SLC20A2",7
"SYNGAP1","SYNGAP1",7
"ATRX","ATRX",7
"HMBOX1","HMBOX1",7
"ILF3","ILF3",7
"CCDC91","CCDC91",7
"CAMK2D","CAMK2D",7
"SGTB","SGTB",7
"COLGALT2","COLGALT2",7
"TDG","TDG",7
"MPI","MPI",7
"CEP97","CEP97",7
"RIOK3","RIOK3",7
"DNAJB4","DNAJB4",7
"TIMM9","TIMM9",7
"PRAMEF18","PRAMEF18",7
"RAB3A","RAB3A",7
"UBE2V1","UBE2V1",7
"CHMP3","CHMP3",7
"ZNF362","ZNF362",7
"ALG5","ALG5",7
"RAPGEF2.1","RAPGEF2.1",7
"GARRE1","GARRE1",7
"MFSD9","MFSD9",7
"NKAPD1","NKAPD1",7
"SIAE","SIAE",7
"HOMEZ","HOMEZ",7
"EPB41L1","EPB41L1",7
"CD82","CD82",7
"EBF2","EBF2",7
"GPATCH11","GPATCH11",7
"PPP1R3F","PPP1R3F",7
"CAMK1D","CAMK1D",7
"NEFH","NEFH",7
"SESN3","SESN3",7
"TRIM62","TRIM62",7
"ST7","ST7",7
"NLGN1","NLGN1",7
"SEC11C","SEC11C",7
"SLC37A3","SLC37A3",7
"CHST2","CHST2",7
"KHDRBS2","KHDRBS2",7
"ATP6V1G2","ATP6V1G2",7
"PPM1L","PPM1L",7
"STMN3","STMN3",7
"NDRG4","NDRG4",7
"TAX1BP1","TAX1BP1",7
"RTL8A","RTL8A",7
"SYP","SYP",7
"RSL24D1","RSL24D1",7
"CHMP1A","CHMP1A",7
"GTF2H2","GTF2H2",7
"SH3BGRL2","SH3BGRL2",7
"SCCPDH","SCCPDH",7
"PEX14","PEX14",7
"C14orf93","C14orf93",7
"MIDN","MIDN",7
"FAM91A1","FAM91A1",7
"PIK3CD","PIK3CD",7
"TOM1L2","TOM1L2",7
"MPRIP","MPRIP",7
"DKK3","DKK3",7
"PTPRA","PTPRA",7
"SH3GL2","SH3GL2",7
"GSE1","GSE1",7
"EYA3","EYA3",7
"WDFY2","WDFY2",7
"VKORC1","VKORC1",7
"UBN1","UBN1",7
"SLCO3A1","SLCO3A1",7
"PFKFB3","PFKFB3",7
"DACT1","DACT1",7
"EED","EED",7
"TMEM161B","TMEM161B",7
"CD40","CD40",7
"UTP11","UTP11",7
"C11orf96","C11orf96",7
"MAGEF1","MAGEF1",7
"DEF8","DEF8",7
"RBP7","RBP7",7
"SLC35B3","SLC35B3",7
"LSM6","LSM6",7
"LMF2","LMF2",7
"ZBTB46","ZBTB46",7
"PQBP1","PQBP1",7
"BAG1","BAG1",7
"HAGH","HAGH",7
"FBXO45","FBXO45",7
"RAB2B","RAB2B",7
"GGACT","GGACT",7
"ZNF316","ZNF316",7
"SGCB","SGCB",7
"TUBB6","TUBB6",7
"NDEL1","NDEL1",7
"ANKRD26","ANKRD26",7
"CD59","CD59",7
"CRAT","CRAT",7
"DST","DST",7
"DPP9","DPP9",7
"POMT1","POMT1",7
"ARHGEF17","ARHGEF17",7
"PLEKHO1","PLEKHO1",7
"GGT1","GGT1",7
"TMEM151B","TMEM151B",7
"CBX8","CBX8",7
"MFF","MFF",7
"ZSWIM5","ZSWIM5",7
"EML2","EML2",7
"C16orf70","C16orf70",7
"MKRN2","MKRN2",7
"SORBS2.1","SORBS2.1",7
"CADM1.1","CADM1.1",7
"LMF1","LMF1",7
"SIK2","SIK2",7
"SEPTIN3","SEPTIN3",7
"FAM172A","FAM172A",7
"PLXNA3","PLXNA3",7
"DGKA","DGKA",7
"CEP128","CEP128",7
"ENO3.1","ENO3.1",7
"SYN1","SYN1",7
"FHL1","FHL1",7
"MRPS35","MRPS35",7
"HECW1","HECW1",7
"SNAPIN","SNAPIN",7
"DNAJC16","DNAJC16",7
"BBX","BBX",7
"ALG9","ALG9",7
"CYRIA","CYRIA",7
"CEP57","CEP57",7
"MYO1B","MYO1B",7
"LARP6","LARP6",7
"RILPL1","RILPL1",8
"USP3","USP3",8
"CFAP36","CFAP36",8
"RGL2","RGL2",8
"FAM89A","FAM89A",8
"TMEM260","TMEM260",8
"FZD8","FZD8",8
"DDC","DDC",8
"SEPTIN4","SEPTIN4",8
"CST1","CST1",8
"APOA1","APOA1",8
"ENOX2","ENOX2",8
"DENND1B","DENND1B",8
"CYP26A1","CYP26A1",8
"PAG1","PAG1",8
"BBS2","BBS2",8
"CDA","CDA",8
"ZDBF2","ZDBF2",8
"ZNF672","ZNF672",8
"MVB12B","MVB12B",8
"UNC119","UNC119",8
"PIP4P2","PIP4P2",8
"MTMR7","MTMR7",8
"MAGI2","MAGI2",8
"JMJD7","JMJD7",8
"SOAT1","SOAT1",8
"PXK","PXK",8
"FAM20B","FAM20B",8
"MAP3K11","MAP3K11",8
"DDHD1","DDHD1",8
"CRLF1","CRLF1",8
"RAB6C","RAB6C",8
"ZFP1","ZFP1",8
"S1PR2","S1PR2",8
"SLC38A4","SLC38A4",8
"FBH1","FBH1",8
"ACTG1.1","ACTG1.1",8
"PPIF","PPIF",8
"CDKN2B","CDKN2B",8
"LDOC1","LDOC1",8
"KIF26B","KIF26B",8
"ZC4H2","ZC4H2",8
"SNAI1","SNAI1",8
"IFIH1","IFIH1",8
"YAE1","YAE1",8
"COBLL1","COBLL1",8
"MYO5B","MYO5B",8
"CSRNP1","CSRNP1",8
"PCM1","PCM1",8
"DCX.1","DCX.1",8
"ABAT","ABAT",8
"ELAVL2","ELAVL2",8
"INA","INA",8
"FIGNL2","FIGNL2",8
"DPYSL4","DPYSL4",8
"RUFY3.1","RUFY3.1",8
"DPYSL2","DPYSL2",8
"EPB41L3.2","EPB41L3.2",8
"L1CAM","L1CAM",8
"CD47","CD47",8
"SRGAP3","SRGAP3",8
"CELSR3","CELSR3",8
"SCARB2","SCARB2",8
"HECTD4.1","HECTD4.1",8
"HSPA12A","HSPA12A",8
"SIRT2","SIRT2",8
"DNM1","DNM1",8
"WDR47","WDR47",8
"ELAVL3","ELAVL3",8
"NEFM","NEFM",8
"NEFL","NEFL",8
"EBF3","EBF3",8
"BHMT","BHMT",8
"MAP1A","MAP1A",8
"PCBP4","PCBP4",8
"NAPB","NAPB",8
"HPCA","HPCA",8
"SLC1A4","SLC1A4",8
"PLCD1","PLCD1",8
"MPP2","MPP2",8
"ATAD2B","ATAD2B",8
"STON2","STON2",8
"EPB41.1","EPB41.1",8
"RTN4.1","RTN4.1",8
"SCAPER","SCAPER",8
"PPP1R18","PPP1R18",8
"ANGPTL2","ANGPTL2",8
"NCOA6","NCOA6",8
"ZNF428","ZNF428",8
"PDXP","PDXP",8
"IRGQ","IRGQ",8
"TERF2IP","TERF2IP",8
"HOOK3.1","HOOK3.1",8
"MACF1.3","MACF1.3",8
"ANXA2.1","ANXA2.1",8
"DCTN1","DCTN1",8
"SNX4","SNX4",8
"BICD1","BICD1",8
"FXR2","FXR2",8
"CENPV.1","CENPV.1",8
"NISCH","NISCH",8
"HSPA4L","HSPA4L",8
"TUBA4A","TUBA4A",8
"LRCH4","LRCH4",8
"PDPK1","PDPK1",8
"PREP","PREP",8
"RAP1GDS1","RAP1GDS1",8
"MTMR6","MTMR6",8
"SLC25A22","SLC25A22",8
"ACP2","ACP2",8
"EIF2AK3","EIF2AK3",8
"GBA","GBA",8
"ZNF618.1","ZNF618.1",8
"PC","PC",8
"TRIO","TRIO",8
"PLXNA1","PLXNA1",8
"IQSEC1","IQSEC1",8
"IGSF3","IGSF3",8
"CBLB","CBLB",8
"MICAL1","MICAL1",8
"LDB1","LDB1",8
"DOCK6.1","DOCK6.1",8
"VAV2","VAV2",8
"AKT1","AKT1",8
"CELSR2","CELSR2",8
"EPHB2","EPHB2",8
"NAV1","NAV1",8
"LARP7","LARP7",8
"SLAIN1.1","SLAIN1.1",8
"CHD7","CHD7",8
"KSR1","KSR1",8
"SHOC2","SHOC2",8
"ZFP91","ZFP91",8
"PCNT","PCNT",8
"ZNF516","ZNF516",8
"NUMBL","NUMBL",8
"TGFB1","TGFB1",8
"CCDC50","CCDC50",8
"CDK6","CDK6",8
"IFRD1","IFRD1",8
"STN1","STN1",8
"TBC1D2B","TBC1D2B",8
"GNS","GNS",8
"ANK2.1","ANK2.1",8
"GPRIN1","GPRIN1",8
"MAP1B","MAP1B",8
"CKB.1","CKB.1",8
"DST.1","DST.1",8
"TUBB3","TUBB3",8
"TRIM3","TRIM3",8
"KIF5C","KIF5C",8
"BASP1","BASP1",8
"CRMP1","CRMP1",8
"GDI1","GDI1",8
"PLD3","PLD3",8
"CAMKV.1","CAMKV.1",8
"PLBD2","PLBD2",8
"AP3B2","AP3B2",8
"STXBP1","STXBP1",8
"MYO18A.1","MYO18A.1",8
"LRCH2","LRCH2",8
"DHRS7","DHRS7",8
"ACSL1","ACSL1",8
"ARMCX3","ARMCX3",8
"LRCH1","LRCH1",8
"PCK2","PCK2",8
"NAPA","NAPA",8
"EFR3B","EFR3B",8
"GOLT1B","GOLT1B",8
"RMND1","RMND1",8
"ATP1A3","ATP1A3",8
"SUN2","SUN2",8
"SPTBN2","SPTBN2",8
"GAA","GAA",8
"ATAT1","ATAT1",8
"DPYSL5","DPYSL5",8
"CTNND2","CTNND2",8
"ARSA","ARSA",8
"SYBU","SYBU",8
"PPM1E","PPM1E",8
"SARM1","SARM1",8
"ANK1.1","ANK1.1",8
"PMEL","PMEL",8
"ACTN4","ACTN4",8
"FKBP9","FKBP9",8
"ITGA7.1","ITGA7.1",8
"RIPOR1","RIPOR1",8
"GPSM1","GPSM1",8
"CORO7","CORO7",8
"CPQ","CPQ",8
"SNX18","SNX18",8
"PODXL2","PODXL2",8
"ARHGAP9","ARHGAP9",8
"ANTXR2.1","ANTXR2.1",8
"NPR2","NPR2",8
"PREX1","PREX1",8
"AGAP3","AGAP3",8
"GMIP","GMIP",8
"SRR","SRR",8
"HECW2","HECW2",8
"STARD3NL","STARD3NL",8
"TCAF1","TCAF1",8
"CCNY","CCNY",8
"STX12","STX12",8
"TM7SF2","TM7SF2",8
"MCC","MCC",8
"SLK","SLK",8
"SNX30","SNX30",8
"PDLIM4","PDLIM4",8
"RBP1","RBP1",8
"INPP5F","INPP5F",8
"SIPA1L2","SIPA1L2",8
"KLHL42","KLHL42",8
"CHD3","CHD3",8
"HSPA2","HSPA2",8
"BAIAP2.1","BAIAP2.1",8
"ANXA5","ANXA5",8
"TACC2","TACC2",8
"LIN7A.1","LIN7A.1",8
"GATM","GATM",8
"NDRG1","NDRG1",8
"SVIL","SVIL",8
"FLNC","FLNC",8
"AFAP1","AFAP1",8
"TRAK1","TRAK1",8
"IGFBPL1","IGFBPL1",8
"TP53I11","TP53I11",8
"LNPK","LNPK",8
"MAPRE3","MAPRE3",8
"NCAM1.2","NCAM1.2",8
"GLIPR2","GLIPR2",8
"NGFR","NGFR",8
"FAM171A1","FAM171A1",8
"PDCD4","PDCD4",8
"CDKN1C","CDKN1C",8
"DLL3","DLL3",8
"RCOR3","RCOR3",8
"CDC42EP3","CDC42EP3",8
"ZNF142","ZNF142",8
"AKAP7","AKAP7",8
"MBLAC1","MBLAC1",8
"PTX3","PTX3",8
"HAPLN1","HAPLN1",8
"GK5","GK5",8
"TYW3","TYW3",8
"TMEM164","TMEM164",8
"ASAP2","ASAP2",8
"GAS2L3","GAS2L3",8
"BAIAP2L2","BAIAP2L2",8
"HNRNPC","HNRNPC",8
"KIF20A","KIF20A",8
"SAPCD2","SAPCD2",8
"KIF1C","KIF1C",8
"PINX1","PINX1",8
"YBX2","YBX2",8
"TBC1D4","TBC1D4",8
"SEPTIN10","SEPTIN10",8
"CBR1","CBR1",8
"HGH1","HGH1",8
"HEBP1","HEBP1",8
"GOLPH3L","GOLPH3L",8
"KLF16","KLF16",8
"RMI2","RMI2",8
"RNF181","RNF181",8
"MAGI1.1","MAGI1.1",8
"WDR44","WDR44",8
"PBDC1","PBDC1",8
"BOLA2","BOLA2",8
"TCEAL4","TCEAL4",8
"ELL","ELL",8
"TRIT1","TRIT1",8
"RCHY1","RCHY1",8
"SLC7A6OS","SLC7A6OS",8
"SPATS2L","SPATS2L",8
"PCM1.1","PCM1.1",8
"PDP2","PDP2",8
"USP16","USP16",8
"RPL36AL","RPL36AL",8
"SNUPN","SNUPN",8
"ANXA4","ANXA4",8
"PARD3.1","PARD3.1",8
"VIL1","VIL1",8
"CDK4","CDK4",8
"BRWD1","BRWD1",8
"STK35","STK35",8
"PPAT","PPAT",8
"FAH","FAH",8
"KATNA1","KATNA1",8
"IFRD2","IFRD2",8
"IVNS1ABP","IVNS1ABP",8
"TRIM65","TRIM65",8
"SNX27","SNX27",8
"VWA5A","VWA5A",8
"DTX2","DTX2",8
"PANK1","PANK1",8
"PDCD2L","PDCD2L",8
"TIMELESS","TIMELESS",8
"SORD","SORD",8
"PSMG4","PSMG4",8
"NAA20","NAA20",8
"BID","BID",8
"C2CD4C","C2CD4C",8
"BTBD2","BTBD2",8
"CREBBP","CREBBP",8
"EDRF1","EDRF1",8
"VRK3","VRK3",8
"BANP","BANP",8
"SMARCAL1","SMARCAL1",8
"CWC22","CWC22",8
"QRICH1","QRICH1",8
"EIF3K.1","EIF3K.1",8
"ILK","ILK",8
"MOCS3","MOCS3",8
"NDOR1","NDOR1",8
"IMP3","IMP3",8
"GATB","GATB",8
"EHHADH","EHHADH",8
"TRMT2A","TRMT2A",8
"ESRRA","ESRRA",8
"WDR26","WDR26",8
"NFKB2","NFKB2",8
"PCMTD2","PCMTD2",8
"CWF19L1","CWF19L1",8
"PFKFB2","PFKFB2",8
"UROD","UROD",8
"RPS6KB2","RPS6KB2",8
"DUS1L","DUS1L",8
"PBX2","PBX2",8
"WDR73","WDR73",8
"ARHGEF18","ARHGEF18",8
"WRAP53","WRAP53",8
"TRMT6","TRMT6",8
"ASPSCR1","ASPSCR1",8
"GALT","GALT",8
"MYG1","MYG1",8
"STAMBP","STAMBP",8
"PRXL2B","PRXL2B",8
"ALKBH5","ALKBH5",8
"AS3MT","AS3MT",8
"SIRT6","SIRT6",8
"POLR3F","POLR3F",8
"PCYT2","PCYT2",8
"CPNE1","CPNE1",8
"ZNF598","ZNF598",8
"MTR","MTR",8
"PTPN11","PTPN11",8
"NMRAL1","NMRAL1",8
"PPM1A","PPM1A",8
"HSF2","HSF2",8
"RPS6KC1","RPS6KC1",8
"PPP1R2","PPP1R2",8
"SURF2","SURF2",8
"STK4","STK4",8
"CUTC","CUTC",8
"HDDC2","HDDC2",8
"NRBF2","NRBF2",8
"UBE2N","UBE2N",8
"CRKL","CRKL",8
"VPS4A","VPS4A",8
"RNF214","RNF214",8
"CRK","CRK",8
"GSN","GSN",8
"ADI1","ADI1",8
"PMF1","PMF1",8
"TRIR","TRIR",8
"MOCS2","MOCS2",8
"GMEB2","GMEB2",8
"PGP","PGP",8
"UCHL3","UCHL3",8
"VHL","VHL",8
"LACTB2","LACTB2",8
"PPP3CA","PPP3CA",8
"KCMF1","KCMF1",8
"IKBKG","IKBKG",8
"R3HCC1L","R3HCC1L",8
"SF3A2","SF3A2",8
"STRN","STRN",8
"BRD2","BRD2",8
"DLG5","DLG5",8
"CEP250","CEP250",8
"CUX1","CUX1",8
"TRIOBP","TRIOBP",8
"HNRNPF","HNRNPF",8
"GTF2E1","GTF2E1",8
"RNF220","RNF220",8
"RNF126","RNF126",8
"ARFGAP3","ARFGAP3",8
"USF2","USF2",8
"ZBTB43","ZBTB43",8
"CUX1.1","CUX1.1",8
"DNAJC17","DNAJC17",8
"SELENOH","SELENOH",8
"SPR","SPR",8
"WDR55","WDR55",8
"GCC1","GCC1",8
"NUBP2","NUBP2",8
"ATXN3","ATXN3",8
"SNRPF","SNRPF",8
"ZC3H18.1","ZC3H18.1",8
"RNF7","RNF7",8
"PCBD1","PCBD1",8
"DUSP12","DUSP12",8
"SNAP47","SNAP47",8
"NAB2","NAB2",8
"NFX1","NFX1",8
"ARHGEF40","ARHGEF40",8
"USP4","USP4",8
"NME7","NME7",8
"PYCR3","PYCR3",8
"KMT2D","KMT2D",8
"INF2","INF2",8
"PNPO","PNPO",8
"UFC1","UFC1",8
"SCOC","SCOC",8
"CD99.1","CD99.1",8
"PTRH1","PTRH1",8
"ESD","ESD",8
"COL5A1","COL5A1",8
"BCLAF3","BCLAF3",8
"ELP4","ELP4",8
"LYPLAL1","LYPLAL1",8
"RDH13","RDH13",8
"A0A0B4J2A0","A0A0B4J2A0",8
"SPATA20","SPATA20",8
"GGT5","GGT5",8
"ZNF280C","ZNF280C",8
"KYAT1","KYAT1",8
"PTGR1","PTGR1",8
"KCTD17","KCTD17",8
"FAM193B","FAM193B",8
"ZNF22","ZNF22",8
"GDPGP1","GDPGP1",8
"TKFC","TKFC",8
"ZER1","ZER1",8
"NAAA","NAAA",8
"UAP1L1","UAP1L1",8
"BRF1","BRF1",8
"KIRREL2","KIRREL2",8
"RFTN1","RFTN1",8
"EI24","EI24",8
"BTBD10","BTBD10",8
"GTF2H4","GTF2H4",8
"TMEM87A","TMEM87A",8
"SGPP1","SGPP1",8
"KAT6B","KAT6B",8
"NME6","NME6",8
"FAM160B1","FAM160B1",8
"GSTM3","GSTM3",8
"PRAF2","PRAF2",8
"INPP5K","INPP5K",8
"LEPROT","LEPROT",8
"VAV3","VAV3",8
"MRPS16","MRPS16",8
"PNPLA4","PNPLA4",8
"MRPS21","MRPS21",8
"TAOK1","TAOK1",8
"HDHD3","HDHD3",8
"SGSH","SGSH",8
"TIMM29","TIMM29",8
"RAPGEF6","RAPGEF6",8
"LIMK1","LIMK1",8
"ALAD","ALAD",8
"OGFR","OGFR",8
"WDR13.1","WDR13.1",8
"WDR20","WDR20",8
"MRPL21","MRPL21",8
"RERE","RERE",8
"BRAP","BRAP",8
"CAMSAP2","CAMSAP2",8
"ZC3H13","ZC3H13",8
"ZNF668","ZNF668",8
"CHFR","CHFR",8
"TSPYL5","TSPYL5",8
"ZMYM2","ZMYM2",8
"KMT2B","KMT2B",8
"PTGES2","PTGES2",8
"HDHD5","HDHD5",8
"PMPCB","PMPCB",8
"SCRIB","SCRIB",8
"KLC4","KLC4",8
"TBCC","TBCC",8
"PMVK","PMVK",8
"FAM114A2","FAM114A2",8
"ILKAP","ILKAP",8
"AARSD1","AARSD1",8
"PCTP","PCTP",8
"OPLAH","OPLAH",8
"NIT1","NIT1",8
"VPS28","VPS28",8
"AMDHD2","AMDHD2",8
"C11orf68","C11orf68",8
"NT5C","NT5C",8
"PSMD9","PSMD9",8
"VWA1","VWA1",8
"FLCN","FLCN",8
"ZNF423","ZNF423",8
"VIPAS39","VIPAS39",8
"ZSWIM8","ZSWIM8",8
"ABL1","ABL1",8
"PMS2","PMS2",8
"ZBTB33","ZBTB33",8
"WDR41","WDR41",8
"GAK","GAK",8
"WDR48","WDR48",8
"TSC2","TSC2",8
"FBXW11","FBXW11",8
"DARS2","DARS2",8
"SHKBP1","SHKBP1",8
"CLK3","CLK3",8
"RXRB","RXRB",8
"TUBGCP5","TUBGCP5",8
"CCNL1","CCNL1",8
"INTS2","INTS2",8
"C19orf12","C19orf12",8
"BCS1L","BCS1L",8
"HINT3","HINT3",8
"SIRT3","SIRT3",8
"BORCS7","BORCS7",8
"NADK2","NADK2",8
"MAP7D1","MAP7D1",8
"CTSZ","CTSZ",8
"HS1BP3","HS1BP3",8
"NATD1","NATD1",8
"MICAL3","MICAL3",8
"SNX24","SNX24",8
"DCAF5","DCAF5",8
"CCDC22","CCDC22",8
"CHN1","CHN1",8
"PPM1F","PPM1F",8
"FBXL15","FBXL15",8
"SNX15","SNX15",8
"WASH6P","WASH6P",8
"MIEN1","MIEN1",8
"ACOT1","ACOT1",8
"FOXRED1","FOXRED1",8
"TST","TST",8
"WRNIP1","WRNIP1",8
"GYS1","GYS1",8
"GSK3B","GSK3B",8
"VPS11","VPS11",8
"TOR1A","TOR1A",8
"ACADVL","ACADVL",8
"H6PD","H6PD",8
"NAGLU","NAGLU",8
"SFT2D3","SFT2D3",8
"RPL34","RPL34",8
"NECAB2","NECAB2",8
"SRRM1","SRRM1",8
"GATAD2B","GATAD2B",8
"YTHDF3","YTHDF3",8
"DDX46","DDX46",8
"PFDN4","PFDN4",8
"FKBP1A","FKBP1A",8
"ACP1","ACP1",8
"TBCB","TBCB",8
"HNRNPA0","HNRNPA0",8
"H1-4","H1-4",8
"SSU72","SSU72",8
"RPL37A","RPL37A",8
"RPL35","RPL35",8
"RPL22","RPL22",8
"RPL28","RPL28",8
"MYDGF","MYDGF",8
"HMGN1","HMGN1",8
"RBMXL1","RBMXL1",8
"RPL32","RPL32",8
"RBX1","RBX1",8
"PYM1","PYM1",8
"FKBP8","FKBP8",8
"TMEM205","TMEM205",8
"CDC16","CDC16",8
