Protein.Ids	pval	Difference
P01631	0.957628040589156	-0.238660176595051
P06330	0.9523510254624028	-0.211851437886557
A0A087WNL5	0.779774444694331	-4.24486128489176
A0A087WQY5	0.7946486811593635	-0.141803741455078
A0A087WNP0	0.6279566861107141	2.34515825907389
A0A087WNZ7	0.8925431108731657	0.26785691579183
Q1EG27	0.33285491146155316	-3.85792064666748
A0A087WQ02	0.9597696519595091	-0.14561653137207
E9QNN1	0.5980483646945186	-0.653959910074867
A0A087WQ46	0.7293164091086177	-1.15120665232341
A0A087WQ89	0.8778505718164391	-0.799287160237631
A0A087WQB0	0.6104960392583106	1.93291091918945
Q9D937	0.6575885127159447	-1.31407769521078
A0A087WQS0	0.8028202321832727	-0.74724006652832
Q8R3Y5	0.9088892525975023	-0.503450711568197
A2AW67	0.7431213459913647	-1.0836935043335
E9Q981	0.7982014162966086	-0.730638186136881
Q3TE80	0.949807296160137	0.260388374328613
Q6PGF3	0.36375139594066697	-2.97206751505534
Q80WR5	0.895940273605434	-0.219551086425781
A0A0A6YVZ3	0.8893876566296073	-1.19009526570638
A0A0A6YW80	0.7691984358886276	-0.576361974080404
A0A0A6YWF5	0.9648178268778539	0.117625872294107
Q8K1M3	0.9758301164935735	0.137531280517578
P01881	0.872677962121908	-0.285172462463379
A0A0G2JG70	0.7102993995892927	1.23496532440186
A0A0G2JFV5	0.8049998064429565	0.36893113454183
A0A0G2JDS8	0.7423733392780679	1.1857926050822
Q9CXL3	0.5166912421280189	1.12910652160645
A0A1D5RLX6	0.7127850583497984	-0.701521555582682
Q3UY26	0.9511620432708182	0.218917210896809
A0A0G2JFF1	0.5339619615299107	0.628403345743815
D3YXI6	0.41525406666331754	-2.46583811442057
A0A0G2JFL4	0.99934012852199	0.00368690490722656
A0A0J9YTR2	0.9871633563463729	0.0371786753336583
F7AFE4	0.5818107081526198	-0.961175282796223
B9EJ54	0.8114391283849216	-0.149071375528973
A0A571BEB1	0.6366450575927015	0.822973251342773
A0A0J9YUP5	0.9604895436014038	0.346204121907551
A0A0J9YUY6	0.6092948436153623	-1.39634990692139
A0A0N4SUU0	0.8480926591981648	0.510347684224447
Q61464	0.7610011904360997	-0.288304011027018
A0A0N4SVS6	0.8544673046323735	-0.804970423380535
A0A0R4IZY9	0.7479730954356913	1.07965914408366
F6WB49	0.8838059681190527	-0.324915250142416
Q9D9D9	0.9048402771273674	0.381748835245769
A0A0R4J0J6	0.9386824268093186	-0.323986371358236
Z4YLI8	0.9145516776722684	-0.398436228434246
A0A0U1RNF2	0.8858608468857917	-0.177019755045572
A0A0U1RNL9	0.8142525909921992	0.963459014892578
A0A0U1RP81	0.8873204464104671	0.517452875773113
A0A0U1RPA0	0.7961225039414768	-0.371549288431803
A0A0U1RPR8	0.7953985864278778	-1.34519418080648
A0A0U1RPU0	0.7746566137611407	-0.972241083780924
A0A140LHE6	0.9822137212543385	0.129474957784018
A0A140LI34	0.9276902129676123	0.324581146240234
A0A140LIU8	0.6786478855866731	1.00050036112467
A0A1B0GR85	0.9644624334193395	-0.212988217671713
A0A1B0GR91	0.9313454383046402	0.417895317077637
A0A1B0GRE8	0.7838158084229108	-0.581018765767414
A0A2I3BPT2	0.8798799060885336	-0.311810811360676
A0A1B0GSQ3	0.8257381418554833	-0.491358121236166
A0A1B0GSX7	0.8247058430528964	-1.1793384552002
E9PWT1	0.8167396602512912	0.388087590535481
A0A1D5RLP7	0.5910635853808992	-0.603960037231445
A0A1D5RM39	0.7385624907686005	-0.900821685791016
A0A1D5RMH3	0.8378661981050368	-0.591557184855144
A0A1D5RMJ2	0.866950282389477	-0.40068244934082
E9Q374	0.7647148849339092	0.534618377685547
F8VPV0	0.9143364206381454	0.279701550801594
Q8BHN7	0.9022195874837952	0.398244857788086
A0A1W2P7J4	0.9641665536471953	-0.193821271260578
Q80V86	0.39274022024220506	2.61365159352621
Q9JKN6	0.9502582386238674	-0.31207529703776
A0A1Y7VIR0	0.9742203259808518	-0.133668263753254
A0A1Y7VNG9	0.8957517709963212	0.504817644755047
E9Q9B7	0.9732488214383409	0.198616027832031
A0A1Y7VNA8	0.932001957913602	-0.146511713663736
A0A1Y7VNF0	0.8539244068540757	-0.495854059855143
A0A1Y7VNZ0	0.8177292462428998	-0.992413520812988
P18155	0.14690909203404853	2.17802174886068
E9Q4K7	0.8897206149001246	0.861346244812012
A0A286YCX6	0.6914842158390011	-1.00759665171305
A0A286YCY3	0.7028139320241146	0.373716990152994
A0A286YDA2	0.9096383820605922	0.559078216552734
E9QAP7	0.9847327078812339	0.0388476053873692
A0A2I3BRL0	0.9887261513682869	0.0976959864298497
A0A2I3BR92	0.9654700725463351	0.143509546915691
A0A2I3BRM6	0.7348841521493528	-1.35257562001546
A0A2R8VKN0	0.8361483983005089	-0.774408976236979
A0A338P6D0	0.6115980733092383	-0.485011100769043
A0A338P6F4	0.9640777869614631	-0.107925097147623
A2BIE1	0.4973715912806026	-0.935302416483562
A0A384DV79	0.9288837121136627	0.144257863362633
F7DAL6	0.8058377341437291	-0.797746658325195
A0A3B2W824	0.5019379495931455	1.09674072265625
A0A3B2W889	0.9047042134269311	-0.459143002827963
A0A3B2WCF4	0.4469091303846779	-1.26219876607259
Q5XFZ0	0.7941853454027284	-0.487496058146156
